state,district,hotspot_probability,risk_level,momentum_score,growth_rate_1month,coverage_gap_vs_state
Chhattisgarh,Kabirdham,0.9971777455503376,CRITICAL,-0.7446066504460664,-1.0,1139.674536965893
Maharashtra,Palghar,0.9971766410285169,CRITICAL,-0.6495612009237876,-1.0,9969.345143319166
Andhra Pradesh,YSR,0.9971761166407749,CRITICAL,-0.6748902546093064,-1.0,-2908.866843313903
Maharashtra,Jalna,0.9971733862818755,CRITICAL,-0.6748738647830475,-1.0,7950.701553575576
Maharashtra,Buldhana,0.9971698072899837,CRITICAL,-0.6448979591836734,-1.0,-11133.603574629551
Chhattisgarh,Kondagaon,0.9971570132865243,CRITICAL,-0.75,-1.0,5339.456115913261
Maharashtra,Chandrapur,0.9971549949803796,CRITICAL,-0.6035420619860847,-1.0,-3427.198446424425
Andhra Pradesh,Vizianagaram,0.9971547601124643,CRITICAL,-0.6282218597063621,-1.0,-17139.616843313906
Jammu And Kashmir,Srinagar,0.997153320229312,CRITICAL,-0.6578947368421053,-1.0,-4490.308427335792
Maharashtra,Satara,0.9971501742988124,CRITICAL,-0.6520898876404495,-1.0,6305.292029766053
Andhra Pradesh,Prakasam,0.9971412759876842,CRITICAL,-0.6403428571428571,-1.0,-18582.15850998057
Maharashtra,Kolhapur,0.9971384471578891,CRITICAL,-0.6660377358490566,-1.0,-20232.365113091095
Maharashtra,Sangli,0.9971372189252481,CRITICAL,-0.8068937550689376,-1.0,-15376.842890868867
Andhra Pradesh,Spsr Nellore,0.9971366968350374,CRITICAL,-0.574140127388535,-1.0,-4401.672398869461
Rajasthan,Udaipur,0.9971356173469985,CRITICAL,-0.7563120567375887,-1.0,801.4596340682665
Chhattisgarh,Jashpur,0.9971345374544812,CRITICAL,-0.6413016270337922,-1.0,-662.1807261920021
Andhra Pradesh,Krishna,0.9971271631118301,CRITICAL,-0.6362352042764414,-1.0,-7376.200176647239
Andhra Pradesh,Chittoor,0.9971262674325377,CRITICAL,-0.6129725319553985,-1.0,-3098.8423335099833
Andhra Pradesh,Anantapuramu,0.997124962434147,CRITICAL,-0.6311339062933186,-1.0,-30052.65850998057
Andhra Pradesh,Guntur,0.9971200896915086,CRITICAL,-0.62619926199262,-1.0,-8932.450176647239
